sentimento,paragrafo
positivo,"Hoje o dia está ensolarado e perfeito para um passeio no parque."
negativo,"Infelizmente, o ônibus atrasou e cheguei tarde ao trabalho."
neutro,"O café na cozinha acabou e preciso comprar mais."
positivo,"Recebi uma promoção no trabalho e estou muito feliz com a notícia!"
negativo,"Perdi meu celular e estou me sentindo frustrado."
neutro,"O jantar foi servido às sete da noite como de costume."
positivo,"Passei no exame final e agora posso me formar."
negativo,"A chuva forte causou muitos transtornos no trânsito hoje."
neutro,"A reunião foi agendada para a próxima quarta-feira às três horas."
positivo,"Ganhei um presente maravilhoso de aniversário da minha melhor amiga."
negativo,"Briguei com um amigo e agora estou me sentindo triste."
neutro,"Fui ao supermercado e comprei frutas e vegetais frescos."
positivo,"O show da minha banda favorita foi incrível e inesquecível."
negativo,"Estou doente e preciso descansar em casa."
neutro,"O correio entregou a correspondência hoje pela manhã."
positivo,"Recebi elogios do chefe pelo excelente trabalho realizado."
negativo,"O computador está lento e atrapalha meu trabalho."
neutro,"A previsão do tempo para amanhã é de sol e céu claro."
positivo,"A festa de casamento foi maravilhosa e todos se divertiram."
negativo,"A reunião foi cansativa e durou o dia todo."
neutro,"A entrega dos produtos ocorreu conforme o planejado."
positivo,"Ganhei na loteria e estou muito animado!"
negativo,"O carro quebrou no meio da estrada e foi um grande inconveniente."
neutro,"A biblioteca está aberta das nove às cinco todos os dias."
positivo,"Passei um tempo agradável com minha família no final de semana."
negativo,"Perdi meu voo e agora preciso esperar pelo próximo."
neutro,"O relatório foi enviado para revisão ontem à tarde."
positivo,"A performance no teatro foi incrível e cheia de emoção."
negativo,"Estou decepcionado com o resultado do jogo de futebol."
neutro,"O ônibus passa a cada meia hora durante o dia."
